t,x,tf,ts
0.22305937,0.232,0.9996793,0.99979985
0.39756563,0.062,3.3786762,1.9644749
0.1452,0.496,1.0001187,1.0001206
0.297875,0.627,1.0000906,1.0001991
0.7816188,0.334,2.6694324,2.2480557
0.3408125,0.64,0.99992037,1.0001147
0.102390625,0.09,0.9996053,0.9999324
0.108625,0.754,1.0001982,1.0001267
0.85420626,0.612,1.7279059,1.4909507
0.38711563,0.635,1.000071,1.0002761
0.29645938,0.951,1.0002034,1.0002683
0.16205625,0.949,1.0002575,1.0001664
0.39565313,0.828,0.9999708,1.0001075
0.40058124,0.301,1.318275,1.1254493
0.171225,0.344,0.99992037,0.99995375
0.22836563,0.282,0.9997467,0.9998901
0.81301564,0.163,3.446438,2.9833875
0.49112812,0.95,1.0000163,0.99988914
0.47385937,0.28,1.8646367,1.4335718
0.3158219,0.39,1.0001645,1.0001255
0.58980936,0.364,1.9163347,1.5477016
0.123315625,0.565,1.0001519,1.0001671
0.87333125,0.542,2.0250847,1.7289042
0.51624376,0.612,1.0361768,1.0171334
0.067865625,0.639,1.0001283,1.0001448
0.45482188,0.946,0.9999571,1.0000212
0.480125,0.791,1.0002677,1.000165
0.7423375,0.417,2.1801634,1.8149476
0.6534375,0.933,1.0063773,1.0031775
0.8969531,0.668,1.6549425,1.4425056
0.36150625,0.029,3.6606843,1.8368826
0.68282187,0.772,1.0751116,1.0385009
0.24235937,0.536,1.0001084,1.0002307
0.7216719,0.832,1.0653012,1.0341437
0.3302844,0.812,1.0001545,1.0002694
0.43728438,0.381,1.2049088,1.0884169
0.7785,0.095,3.6635573,3.1183515
0.91590625,0.11,3.704228,3.2966402
0.57039374,0.385,1.7346858,1.4190818
0.11818125,0.368,1.000032,1.0000693
0.15195,0.613,1.0002162,1.0001782
0.2038375,0.458,1.0001031,1.0001106
0.006190625,0.528,0.9999397,1.0001048
0.24265938,0.481,1.0000339,1.0001755
0.22856562,0.248,0.99971795,0.9998486
0.41698125,0.829,0.99995923,1.0000774
0.08230625,0.872,1.0002563,1.000021
0.79638124,0.016,3.9457178,3.2736502
0.6008437,0.803,1.0134755,1.0060534
0.03535625,0.923,1.0003176,0.9998956
0.26955312,0.007,3.6773763,1.1413336
0.5889469,0.935,1.0010037,1.0001979
0.94184065,0.943,1.1871891,1.1307355
0.41260624,0.256,1.6462195,1.2701259
0.32603437,0.927,1.0001632,1.00026
0.24877812,0.286,0.99999404,0.99989164
0.2745,0.016,3.4556658,1.1766379
0.58465314,0.71,1.0357895,1.0171268
0.6987187,0.058,3.7563887,3.0462322
0.8776906,0.63,1.7270736,1.4942298
0.39635313,0.852,0.9999862,1.0001175
0.5345156,0.199,2.6997283,2.03105
0.113890626,0.096,0.9995816,0.99988925
0.20724687,0.321,0.9998212,0.99995023
0.7149125,0.723,1.165803,1.0913635
0.7131094,0.981,1.0126522,1.0083023
0.7074906,0.392,2.1898801,1.8077102
0.5959844,0.843,1.0065448,1.002747
0.7468031,0.915,1.0387222,1.0218982
0.13539375,0.102,0.99953294,0.99977934
0.8837562,0.925,1.1387079,1.0911279
0.24771562,0.627,1.0001876,1.0002846
0.8973125,0.699,1.5671142,1.3772905
0.596575,0.007,3.961824,2.8664916
0.7616094,0.861,1.077291,1.0425566
0.26402813,0.696,1.000196,1.0003161
0.8199844,0.363,2.631852,2.2331614
0.9523906,0.884,1.274405,1.183228
0.73768437,0.431,2.1031976,1.7519482
0.9394031,0.83,1.3458887,1.2270558
0.9441625,0.857,1.3052526,1.2011625
0.6187062,0.892,1.0052632,1.0022132
0.20225,0.625,1.0002778,1.0002072
0.055825,0.886,1.0002768,0.99995893
0.24576876,0.628,1.0001907,1.0002816
0.60727185,0.25,2.6209183,2.0729647
0.03181875,0.075,0.9998591,0.9999603
0.15582187,0.361,0.9999454,0.99997526
0.7082281,0.437,1.9852422,1.6499703
0.58449376,0.526,1.2749946,1.1456628
0.6236219,0.97,1.0016643,1.0007665
0.7959344,0.531,1.8604693,1.5805004
0.6004375,0.173,3.0528948,2.3949523
0.80602187,0.131,3.556141,3.070187
0.083221875,0.978,1.0003202,0.9999973
0.5127406,0.855,1.0003066,1.0000179
0.15208125,0.591,1.0002058,1.0001714
0.06951875,0.56,1.0001183,1.0001779
0.020328125,0.935,1.0003294,0.9998559
0.03880625,0.977,1.0003603,0.9998889
0.6475594,0.001,3.9952292,2.9966693
0.92885,0.131,3.652976,3.2648044
0.334725,0.152,1.8266976,1.2300512
0.9512,0.519,2.3034956,1.983494
0.29208437,0.346,0.99986196,0.99990547
0.6140031,0.55,1.291839,1.1588053
0.6807219,0.334,2.3925443,1.9545703
0.20119688,0.052,1.0000329,0.9993079
0.15576562,0.437,1.0000592,1.0000613
